pruid,prname,date,numtotal,numdeathstoday
99,Repatriated travellers,2020-03-16,4,0
1,Canada,2020-03-16,341,3
59,British Columbia,2020-03-17,103,3
48,Alberta,2020-03-17,74,0
47,Saskatchewan,2020-03-17,7,0
46,Manitoba,2020-03-17,7,0
35,Ontario,2020-03-17,177,0
24,Quebec,2020-03-17,50,0
10,Newfoundland and Labrador,2020-03-17,1,0
13,New Brunswick,2020-03-17,7,0
12,Nova Scotia,2020-03-17,5,0
11,Prince Edward Island,2020-03-17,1,0
60,Yukon,2020-03-17,0,0
61,Northwest Territories,2020-03-17,0,0
62,Nunavut,2020-03-17,0,0
99,Repatriated travellers,2020-03-17,8,0
1,Canada,2020-03-17,440,3
59,British Columbia,2020-03-18,186,0
48,Alberta,2020-03-18,97,0
47,Saskatchewan,2020-03-18,8,0
46,Manitoba,2020-03-18,15,0
35,Ontario,2020-03-18,189,0
24,Quebec,2020-03-18,74,1
10,Newfoundland and Labrador,2020-03-18,3,0
13,New Brunswick,2020-03-18,8,0
12,Nova Scotia,2020-03-18,7,0
11,Prince Edward Island,2020-03-18,1,0
60,Yukon,2020-03-18,0,0
61,Northwest Territories,2020-03-18,0,0
62,Nunavut,2020-03-18,0,0
99,Repatriated travellers,2020-03-18,9,0
1,Canada,2020-03-18,597,1
59,British Columbia,2020-03-19,271,1
48,Alberta,2020-03-19,146,1
47,Saskatchewan,2020-03-19,20,0
46,Manitoba,2020-03-19,17,0
35,Ontario,2020-03-19,258,1
24,Quebec,2020-03-19,121,0
10,Newfoundland and Labrador,2020-03-19,3,0
13,New Brunswick,2020-03-19,11,0
12,Nova Scotia,2020-03-19,14,0
11,Prince Edward Island,2020-03-19,2,0
60,Yukon,2020-03-19,0,0
61,Northwest Territories,2020-03-19,0,0
62,Nunavut,2020-03-19,0,0
99,Repatriated travellers,2020-03-19,10,0
1,Canada,2020-03-19,873,3
59,British Columbia,2020-03-20,271,1
48,Alberta,2020-03-20,195,0
47,Saskatchewan,2020-03-20,26,0
46,Manitoba,2020-03-20,17,0
